"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"HSPG2",0.0298065217391304,0.120033695652174,0.369703903854395,0.714739586028315,0.955284828184061,-4.88865235086127,"NO"
"CPXM1",0.105039130434783,-0.00624565217391304,0.369692694519028,0.714747834156189,0.955284828184061,-4.88865440562107,"NO"
"MMP9",0.0561456521739134,0.245511956521739,0.36638183615312,0.717185595901883,0.956538224955176,-4.88925863036699,"NO"
"NFYA",-0.0411565217391305,0.159221739130435,-0.366351978874483,0.717207593571033,0.956538224955176,-4.88926405493445,"NO"
"CSH1",-0.0270195652173913,0.0859489130434783,-0.365363103800948,0.717936298420365,0.956538224955176,-4.88944347126213,"NO"
"KAZN",0.106291304347826,-0.155454347826087,0.364978763506073,0.718219593440125,0.956538224955176,-4.88951307522003,"NO"
"SNX15",0.0572999999999999,0.106023913043478,0.364635557373141,0.718472603463817,0.956538224955176,-4.88957516887708,"NO"
"ATG16L1",0.0965,-0.0551804347826087,0.364458466531903,0.718603166855476,0.956538224955176,-4.88960718608912,"NO"
"CGB3_CGB5_CGB8",0.0331826086956523,0.127452173913044,0.363113447671437,0.719595090443906,0.956538224955176,-4.88984985985827,"NO"
"PRSS2",-0.0714086956521739,0.152202173913043,-0.362929604644602,0.719730709862171,0.956538224955176,-4.88988296098609,"NO"
"GGA1",0.0617413043478261,0.0904989130434783,0.361291496356192,0.720939541220927,0.956538224955176,-4.89017717578159,"NO"
"CFHR4",-0.0656695652173914,0.102708695652174,-0.361271559811409,0.72095425783184,0.956538224955176,-4.89018074844635,"NO"
"MUC16",0.178858695652174,-0.188729347826087,0.360830541702104,0.721279833354455,0.956538224955176,-4.89025973007046,"NO"
"ANGPTL2",-0.0489999999999999,0.185104347826087,-0.35999536634895,0.72189653688886,0.956538224955176,-4.89040904088691,"NO"
"C1QTNF9",-0.0419152173913044,-0.0281902173913044,-0.359603197269159,0.722186185498369,0.956538224955176,-4.89047903452302,"NO"
"ADGRE2",0.0364195652173912,0.0336163043478261,0.359262268459103,0.722438023374264,0.956538224955176,-4.89053982187457,"NO"
"PDCL2",-0.0489304347826087,0.074095652173913,-0.358975366549319,0.722649977305255,0.956538224955176,-4.89059093229675,"NO"
"SEMA3F",0.0380521739130435,0.0971913043478261,0.358910246344341,0.722698089171077,0.956538224955176,-4.89060252760308,"NO"
"CDH15",0.0554347826086958,0.367991304347826,0.35858911029928,0.722935366717531,0.956538224955176,-4.89065967881677,"NO"
"VPS4B",0.101752173913044,-0.143467391304348,0.35774579500974,0.723558601034467,0.956538224955176,-4.89080952028608,"NO"
"MEGF9",-0.0250565217391305,0.0279891304347826,-0.357734091606063,0.723567251557434,0.956538224955176,-4.89081159732033,"NO"
"LIFR",0.0339282608695652,-0.0500967391304348,0.357602157025977,0.723664773055575,0.956538224955176,-4.89083500747459,"NO"
"RRM2",-0.0696391304347827,0.0944326086956522,-0.356672823205018,0.724351839436712,0.956538224955176,-4.89099966539321,"NO"
"ACADM",-0.0606130434782609,0.129454347826087,-0.355492034019895,0.725225149437911,0.956538224955176,-4.8912082672971,"NO"
"FURIN",-0.0487478260869565,0.0547478260869565,-0.355360165806076,0.725322702558872,0.956538224955176,-4.89123152127052,"NO"
"ACE",-0.0284739130434782,0.0405782608695652,-0.354611146780032,0.725876899609631,0.956538224955176,-4.89136344401213,"NO"
