"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"IGF2R",-0.0375407331032117,-0.040524894514768,-1.18860396096974,0.235192025835632,0.469402039037294,-6.32430163618839,"NO"
"PLTP",0.0539312823964653,0.129312869198312,1.18700365205121,0.235822047297251,0.470332149964198,-6.32618609501642,"NO"
"VNN2",-0.0645562744637579,-0.0792652953586498,-1.18629078017588,0.236103081263995,0.470378888861688,-6.32702473150642,"NO"
"C1R",0.0285200640558708,-0.0501401898734177,1.18611224834487,0.236173500683693,0.470378888861688,-6.32723468144817,"NO"
"TRDMT1",0.167777162678607,-0.373866244725738,1.18511389048872,0.236567563846374,0.470804440819132,-6.32840815182476,"NO"
"PTPRM",-0.0394446536397918,0.124637869198312,-1.1847394436468,0.236715482448113,0.470804440819132,-6.32884802356346,"NO"
"LRP11",-0.0560852955087744,0.133939767932489,-1.18190276090141,0.237838194593724,0.472709592581289,-6.33217585482554,"NO"
"PPP1R12B",0.192390503455203,-0.217683755274262,1.17811767671142,0.239342136071652,0.474763385119467,-6.3366039449468,"NO"
"CAMSAP1",-0.117242450161866,0.0410960970464135,-1.17770131515371,0.239507980404401,0.474763385119467,-6.33709017551708,"NO"
"BTNL10",0.0953797973158318,0.314548101265823,1.17743850068844,0.239612705997282,0.474763385119467,-6.33739700452433,"NO"
"CSPG4",0.049266560589314,-0.0290324894514768,1.17741531495836,0.239621946538443,0.474763385119467,-6.33742406998939,"NO"
"ADA",-0.0447814949332492,0.0220537974683544,-1.17722143410788,0.239699226517778,0.474763385119467,-6.33765037274157,"NO"
"EIF2AK2",-0.124112085106649,0.335986708860759,-1.17603040369038,0.24017435231006,0.475376150742065,-6.33903976144956,"NO"
"CHP1",0.206304233447679,-0.300813818565401,1.17536348309878,0.240440690847933,0.475575104380602,-6.33981714264942,"NO"
"DNLZ",-0.222081738322565,0.0241909282700421,-1.17422696023138,0.240895048597953,0.475769773338159,-6.34114089523957,"NO"
"CLEC4A",-0.0537082534632744,0.0721491561181435,-1.17403670762917,0.24097116678882,0.475769773338159,-6.34136236548142,"NO"
"FGF19",0.0987693761857242,0.196739556962026,1.17370344680087,0.241104542109121,0.475769773338159,-6.34175022350491,"NO"
"TP53I3",-0.0597648793589123,0.0192271097046413,-1.17312168400783,0.241337496103079,0.475769773338159,-6.34242703253723,"NO"
"IFNLR1",-0.0646872013693358,0.0113252109704641,-1.17304414580077,0.241368556557539,0.475769773338159,-6.34251721345421,"NO"
"YES1",-0.109916827596776,0.0699408227848102,-1.17237859012341,0.241635282683089,0.475968400230151,-6.34329104515063,"NO"
