"STRING_id","Protein","Eff_ALS","padj_ALS","cluster","cluster_color","log10padj"
"9606.ENSP00000468057","HSPB6",0.884887233328272,1.5799375371897e-09,"Unclustered","#D3D3D3",8.80136008253296
"9606.ENSP00000277517","IDI2",0.683048416267144,0.0108739869220878,"Unclustered","#D3D3D3",1.96361119365071
"9606.ENSP00000260570","IFT172",0.616904579513924,0.00371037820672282,"20","#ef75c5",2.43058181957064
"9606.ENSP00000301464","IGFBP6",-0.336143524534608,0.00146310786235909,"Unclustered","#D3D3D3",2.83472365589751
"9606.ENSP00000344860","IGFL3",-0.349558596268225,0.00194924273151895,"Unclustered","#D3D3D3",2.71013407653378
"9606.ENSP00000432218","IL32",0.379280822958649,0.0208167746205235,"Unclustered","#D3D3D3",1.68158655979288
"9606.ENSP00000274364","IQGAP2",0.457360403550148,0.0300079599509848,"Unclustered","#D3D3D3",1.52276352847203
"9606.ENSP00000346442","IRAG2",1.02597809727083,0.00358360231492625,"Unclustered","#D3D3D3",2.44568019153669
"9606.ENSP00000441691","ITGAM",-0.648142043003225,1.04418296393778e-06,"4","#ffca65",5.9812233966723
"9606.ENSP00000261023","ITGAV",-0.238426533667629,0.00284761236560353,"7","#7bb200",2.54551912983051
"9606.ENSP00000380948","ITGB2",-0.382351728197681,0.00389705500300573,"4","#ffca65",2.40926346453492
"9606.ENSP00000283249","ITGB6",-0.456647651268425,0.00281078284767162,"7","#7bb200",2.55117270533558
"9606.ENSP00000364526","JCAD",1.38019577026995,0.0274475188162915,"Unclustered","#D3D3D3",1.56149690852158
"9606.ENSP00000368976","KIFC3",1.13840461846463,0.00672804857724022,"9","#2db200",2.17211088154558
"9606.ENSP00000356162","KISS1",0.353092877363742,0.0172705052969939,"15","#9475ef",1.76269495574546
"9606.ENSP00000284669","KLHL41",0.85545048971816,0.0021132834911377,"1","#ff0000",2.67504223963562
"9606.ENSP00000469315","KLK15",-0.428959342716822,0.0225592848796765,"Unclustered","#D3D3D3",1.64667467143217
"9606.ENSP00000326159","KLK4",0.6476452813728,0.0375469340861378,"Unclustered","#D3D3D3",1.42542551974725
"9606.ENSP00000375682","KLK8",-0.456498371755629,2.92783203440815e-05,"Unclustered","#D3D3D3",4.53345384176053
"9606.ENSP00000320917","KRI1",-0.933075103246627,0.0281611297831485,"Unclustered","#D3D3D3",1.55034992592393
"9606.ENSP00000351908","MAP3K5",0.967104190407496,0.0247052794017944,"2","#ff8765",1.6072102301384
"9606.ENSP00000465039","MAP4K1",0.811666357067264,0.0432604761854094,"18","#e475ef",1.3639087044171
"9606.ENSP00000274473","MEGF10",1.24401130227238,3.0301453524358e-18,"Unclustered","#D3D3D3",17.518536538413
"9606.ENSP00000296350","MELTF",-0.296328408817744,0.0275793436948414,"Unclustered","#D3D3D3",1.55941607293538
"9606.ENSP00000299855","MMP3",-0.687020578527914,0.00139075732226254,"5","#b29b00",2.85674864484401
"9606.ENSP00000244051","MOCS3",0.565574308104595,0.0117207811387716,"16","#af75ef",1.93104344352669
"9606.ENSP00000475489","MPHOSPH9",0.391275720674457,0.0275793436948414,"Unclustered","#D3D3D3",1.55941607293538
"9606.ENSP00000480445","MSANTD3",0.70053305814579,0.00586262575060337,"Unclustered","#D3D3D3",2.23190782876173
"9606.ENSP00000260950","MSTN",-0.532262505377405,0.0021132834911377,"3","#b24d00",2.67504223963562
"9606.ENSP00000322804","MTSS1",0.847262856898547,0.0375469340861378,"Unclustered","#D3D3D3",1.42542551974725
